Airline,Month_of_Journey,P_load
Trujet,1,78.41751498
Trujet,2,75.9902994
Trujet,3,70.77475729
Trujet,4,79.32438514
Trujet,5,83.52044449
Trujet,6,78.44944324
Trujet,7,76.09004162
Trujet,8,78.46421013
Trujet,9,76.29361386
Trujet,10,79.17662947
Trujet,11,74.08277957
Trujet,12,78.70759
Vistara,1,84.59986338
Vistara,2,84.78944036
Vistara,3,87.73891107
Vistara,4,86.27856252
Vistara,5,80.32343433
Vistara,6,78.71791895
Vistara,7,79.1405798
Vistara,8,78.45982334
Vistara,9,80.73602241
Vistara,10,75.50580887
Vistara,11,74.49618382
Vistara,12,75.8283922
Air Asia,1,77.18247434
Air Asia,2,80.41205844
Air Asia,3,76.47983176
Air Asia,4,84.20839092
Air Asia,5,86.85307816
Air Asia,6,82.11501311
Air Asia,7,75.82380898
Air Asia,8,71.97886291
Air Asia,9,64.77778451
Air Asia,10,81.54483064
Air Asia,11,80.1565969
Air Asia,12,83.08225417
IndiGo,1,84.53900027
IndiGo,2,84.65416872
IndiGo,3,78.75321111
IndiGo,4,82.07030689
IndiGo,5,81.0603569
IndiGo,6,82.0998565
IndiGo,7,78.31273494
IndiGo,8,73.16340455
IndiGo,9,74.8518719
IndiGo,10,75.5616915
IndiGo,11,78.02184283
IndiGo,12,81.32064585
GoAir,1,84.76137355
GoAir,2,85.36777452
GoAir,3,85.08521166
GoAir,4,85.15679065
GoAir,5,86.38113921
GoAir,6,86.36888967
GoAir,7,79.00798203
GoAir,8,79.78123875
GoAir,9,86.79338056
GoAir,10,82.06225667
GoAir,11,86.06533971
GoAir,12,86.34663457
SpiceJet,1,90.04259121
SpiceJet,2,89.98801617
SpiceJet,3,89.49801801
SpiceJet,4,89.31988054
SpiceJet,5,88.52507659
SpiceJet,6,86.94814604
SpiceJet,7,88.24392186
SpiceJet,8,87.1883382
SpiceJet,9,86.39966044
SpiceJet,10,84.15080406
SpiceJet,11,84.69574641
SpiceJet,12,86.04024718
Jet Airways,1,85.46775371
Jet Airways,2,85.86617605
Jet Airways,3,85.54302284
Jet Airways,4,86.69385041
Jet Airways,5,78.34959884
Jet Airways,6,78.2967755
Jet Airways,7,80.81451489
Jet Airways,8,79.47756424
Jet Airways,9,83.95795732
Jet Airways,10,81.83466891
Jet Airways,11,81.34178734
Jet Airways,12,84.44964152
Air India,1,82.40132685
Air India,2,81.89851756
Air India,3,84.7580148
Air India,4,84.21138051
Air India,5,77.13635741
Air India,6,77.07862207
Air India,7,79.59021723
Air India,8,81.39983493
Air India,9,79.16124302
Air India,10,79.86632091
Air India,11,78.38899504
Air India,12,76.23486682
